feature,importance
O3_target_rolling_mean_3h,90058854.62093353
O3_target_lag_1h,30083633.49662018
solar_elevation_lag_1h,5040363.493774414
O3_target_rolling_mean_6h,4732176.670806885
O3_target_lag_3h,4254263.499786377
blh_era5,2272961.4126586914
solar_elevation_lag_6h,803945.5514526367
pbl_solar_elevation,771998.595916748
pbl_photolysis,630644.6533203125
hour_sin,579329.6151123047
solar_elevation_positive,491097.9433898926
rh_temp_interaction,428037.27920532227
solar_elevation,402990.2283630371
temp_photolysis,394672.40869140625
hour,369119.0210571289
dewpoint_depression,363786.94665527344
pbl_temp,345798.7402496338
so2,333701.76065063477
no2_lag_3h,328742.03912353516
pbl_solar_elevation_squared,278472.1072998047
hour_cos,267427.3928833008
relative_humidity_approx,258281.51196289062
solar_elevation_lag_3h,251787.7850036621
SZA_deg,250060.88037109375
photolysis_rate_approx,230105.0
pm10,175725.19353294373
no2,162880.1235961914
u10_era5,127211.40051269531
tcc_era5,118819.4779663086
sza_rad,100221.39685058594
d2m_era5,96906.70666503906
no2_rolling_mean_6h,90534.95794677734
no2_rolling_mean_3h,89400.73626708984
no2_lag_1h,79060.31455612183
temp_cos_sza,60315.2744140625
month_cos,54714.81042480469
no2_rolling_mean_12h,51392.82189941406
O3_target_lag_6h,48224.918548583984
O3_target_rolling_mean_12h,43597.85791015625
is_post_monsoon,40322.709533691406
pm2p5,40099.479919433594
solar_elevation_abs,37464.933166503906
cos_sza,37046.69921875
pbl_wind_product,35027.252868652344
v10_era5,27334.978912353516
no2_lag_6h,25903.231872558594
temp_solar_elevation,21644.051696777344
t2m_era5,21551.029235839844
ventilation_rate,20582.423950195312
sp,18906.694946289062
temp_solar_elevation_squared,18319.383911132812
month_sin,13514.399765014648
t2m_era5_rolling_mean_3h,12270.867919921875
solar_elevation_squared,12234.475402832031
month,11934.211883544922
t2m_era5_rolling_mean_12h,8541.393981933594
wind_speed,7948.627746582031
t2m_era5_lag_3h,7571.919708251953
t2m_era5_lag_6h,6689.771911621094
pbl_cos_sza,6604.513122558594
is_winter,5377.1900634765625
day_of_week,5193.2330322265625
t2m_era5_lag_1h,4792.5098876953125
is_summer,4604.4599609375
t2m_era5_rolling_mean_6h,4429.0699462890625
is_daytime,0.0
weekend_solar,0.0
is_weekend,0.0
is_weekday,0.0
is_monsoon,0.0
